sentence,difficulty
Je m'appelle Jessica,A1
Merci et je vous souhaite une très bonne journée.,A2
"Aucune action condamnable ne pouvait être citée; il ne pouvait même pas être contesté certains qui semblaient annoncer la générosité ou le dévouement; mais il a été dit que j'étais un homme immoral, un homme dangereux: deux épithètes heureusement inventées pour insinuer les faits que nous ne faisons pasSachez et faites deviner ce que nous ne savons pas.",C2
Vous devez vous couper les ongles.,A2
"Avec la distanciation sociale, les opportunités de se rencontrer étaient également moins fréquentes.",B2
"Le but de lui satisfait, mettant ma vie un nouvel intérêt, animé mon existence d'une manière inhabituelle.",C2
"Alors que mon père parlait toujours du côté de Méséglis comme de la plus belle vue de la plaine qu'il connaissait et du côté de Guermantes comme le type de paysage fluvial, je leur ai donné, les concevant ainsi comme deux entités, cette cohésion, ceci ceciL'unité qui n'appartient qu'aux créations de notre esprit; le moindre intrigue de chacun d'eux me semblait précieux et manifeste leur excellence particulière, tandis que sur eux, avant que nous n'ayons arrivés sur le sol sacré de l'un ou de l'autre, le chemin purement matérielau milieu desquels ils étaient posés comme l'idéal de la vue de Plaine et l'idéal du paysage de la rivière, ne valaient pas la peine d'être regardé que par le spectateur amoureux de l'art dramatique les petites rues qui sont autour d'un théâtre.",C2
"Si vous voulez attendre au bar, vous serez appelé quand il sera prêt.",A2
"Cet emballage innovant, combiné au développement de lignes de chemin de fer, a permis la distribution de Camembert dans d'autres régions de France, mais aussi à l'étranger.",B2
"De plus, la vie est composée des choses les plus différentes, les plus imprévues, les plus contraires, les plus disparates; elle est brutale, sans suivi, sans chaîne, pleine de catastrophes inexplicables, illogiques et contradictoires qui doivent être classées dansle chapitre divers.",C1
Il regarde la télévision.,A1
Le démon voulait trouver une cachette pour ne plus revoir la méchante femme.,B1
Il est difficile de provoquer une discrimination collectivement acceptée.,B2
Je sors déjà du lit.,A2
Les églises sont animées,B2
"Certaines professions disparaîtront, mais d'autres apparaissent.",C2
Mais cette révolution se manifeste non seulement dans notre vie quotidienne.,B1
"Peu sont ceux qui, comme le basque, l'Égyptien, les Chinois, le grec, l'hébreu, le latin, le persan, le sanskrit, le tamoul et quelques autres ont fait sauter leurs 2000 bougies.",C1
"Il a une longue expérience dans un grand nombre de restaurants, mais moins dans la restauration collective.",B1
"C'est ce que Hervé Brassier a appris qui pouvait parler pendant des heures de son chien guide, Indigo.",B1
"Un Seigneur quelque peu infernal les attire, un trouble dangereux de sourire.",C1
"Néanmoins, l'existence d'êtres divins n'étant pas un fait prouvé que nous pouvons rester sceptiques sur les origines des travaux décrits précédemment",C2
Pour rappeler le massacre de quelque 60 millions de bisons orchestrés à la fin du 19e siècle pour surmonter la peau rouge.,C1
"Suen (Liebowitz, 2000), sont éloquents sur la dispersion et la variété des méthodes de mesure de ce type en cours aujourd'hui dans les entreprises",C2
"Les égouts ont volé par leurs bouches de granit leur respiration tachée, et les cuisines souterraines ont jeté dans la rue, à travers leurs fenêtres basse, les tristement célèbres miasmes de plats et de vieilles sauces.",C2
Qu'est ce que tu regardes ?,A1
C'est pour moi une grande déception de ne pas pouvoir vous accueillir à Zurich,B1
"Au nord, la forêt, au sud des hautes montagnes les séparait presque entièrement du reste du monde.",B2
Il n'y a pas beaucoup de voitures donc il n'y a pas de embouteillage,B1
"Certaines entreprises refusent systématiquement Quinquas, manifeste Danièle Lepeu, qui dirige l'agence principale de la société de travail temporaire Adecco, à Boulogne-Billancourt.",C1
"Ce soir, il perd son pouvoir",A2
Il y a un nouveau film avec son acteur préféré,A2
Ma mère m'a exceptionnellement laissé boire du vin chaud même si j'ai normalement le droit,B1
"Je n'ai pas peur de dire ""non"" après que ce soit vraiment une question de sentiment",A2
Il hocha doucement en regardant mon avion.,B1
"700 000 tonnes de couches utilisées sont lancées chaque année au Japon, ce qui représente jusqu'à 25% des déchets incinérés dans certaines municipalités.",B2
"Dans le centre de la ville, il y a un très bon quartier, plein de magasins chics et de bons restaurants",A1
"Bonjour, puis-je avoir votre passeport et votre billet, s'il vous plaît?",A1
"Toutes ces données indiquent ""que le problème de la malnutrition devient plus complexe et que les stratégies de lutte des pays et des organisations internationales devront lutterSpécifie Francis Delpeuch.",C1
"C'est pourquoi, dans le désert, les premiers voyages sont effectués tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit.",B2
"Et surtout, j'attendais votre arrivée",A2
Les ressources disponibles en ligne peuvent faciliter l'apprentissage des élèves du secondaire.,B2
N'abandonnez jamais les cruautés qui se sont donné la passion et lui donnent un éclat.,C1
Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,B1
"Pour les habitants des quartiers historiques, la vie n'est plus la même: les rues pleines de touristes perdent progressivement leurs magasins de quartier.",B1
Disons que la coopération fait partie de l'arsenal éducatif des étudiants.,C1
Avez-vous retiré le réfrigérateur de réfrigérateur hier soir pour qu'ils soient à température ambiante pour ce repas de l'après-midi?,C1
Il est très satisfait de votre travail.,B1
Virginie aime les vacances en mer,A1
J'ai déjà pris l'avion parce que nous sommes allés à Rome en Italie il y a deux ans,A1
Une deuxième balle a brillé le trottoir à côté de lui.,B2
"Si l'épicerie du quartier avait été ouverte ce jour-là, comme indiqué sur le panneau informatif, nous aurions acheté du lait et du sirop d'érable pour préparer le pain perdu pour les enfants.",B2
"Dès qu'il s'allume, un ordinateur s'exécute, l'un après l'autre, les instructions qui le font lire, manipuler, puis réécrire un ensemble de données déterminées par un début mort d'amorçage.",C2
Elle a 20 ans,A1
Une étude montre que ce vaccin offre un taux de protection élevé qui évite l'hospitalisation.,B2
"Dans le même temps que les idées, la mode, les critères du comportement social, empruntés à la France, façonneront progressivement la Police Society of Continental Europe et même dans une certaine mesure de l'Angleterre.",C2
"Elle prendra un pseudonyme masculin pour poursuivre son travail qui, révisé récemment, a montré qu'elle avait imaginé les prémisses du travail de Poincaré.",B2
"Désolé pour le retard, nous sommes très occupés ce soir.",A2
Je suis allé voir un film d'humour en plein air avec mon petit ami.,A2
Ceci est idéalement réduit autant que possible grâce à la définition de critères de classification clairs et par la triangulation des points de vue des experts dans le domaine.,B2
Je ne suis jamais content.,A1
Très bonne journée à vous!,A1
Il doit se dépêcher de ne pas être en retard à l'école.,A2
"Si j'appuie là-bas, c'est douloureux.",A2
"Je dirais qu'Andy Warhol est l'artiste la plus complexe, aux multiples facettes et la plus révolutionnaire des soixante dernières années.",B2
"Ils ont quitté leur maison de toute urgence, alors que les flammes s'approche et ont décidé de dormir dans leur voiture très équipée",B1
Elle était heureuse,A2
"La deuxième modernité a attribué un individualisme plus concret qui valorise la construction de l'identité de chacun, car l'émancipation des femmes sort de cette période.",C1
Il achète des légumes et des fruits.,A1
Nous sommes en retard.,A1
"Immédiatement installé derrière nos bureaux, nous avons commencé la discussion thématique répertoriée à l'ordre du jour.",C2
"Il y aura bien sûr des moyens de tricher, mais l'accent sera mis sur la dissuasion, comme les contrôles antidopage, l'autre condition étant évidemment d'imaginer des sujets qui ne se prêtent pas à copier et à coller.",B2
"Selon les auteurs de l'article Cahiers Santé, un accès facile aux huiles bon marché a joué un rôle prépondérant en raison de la production industrielle généralisée à bas prix.",C1
Cela nécessite de l'équipement et suffisamment d'espace.,B2
"Vers dix heures, je monte dans ma chambre.",A2
"L'innovation et la simplicité sont les étapes de la seule voie à suivre pour trouver un élan créatif adapté à un monde en mutation concrètement et durablement, évolue mais reste aime les bonnes choses.",C1
Parce que je ne céderai jamais à la barbarie.,B1
"Dans ces endroits imaginés, rien ne nous dérangera",C2
Je vis au Niger et toi?,A1
"Et puis Champlain continue l'exploration du Québec, qui à l'époque s'appelait New France",C1
Les profils sélectionnés seront rappelés pour participer aux entretiens et aux quarante-deux heures de compétition.,B2
"Paul Andreu, l'architecte de l'aéroport de Roissy (du terminal 1 au terminal 2e-K) ainsi que l'opéra de Pékin, entre autres, s'est demandé s'il devait installer des portes automatiques dans un aéroport qu'il était en train de concevoir en tant que demandeur de n'importe quel aéroportdigne du nom car, après un calcul rapide des conditions locales, le coût de l'achat et surtout l'entretien d'une porte automatique était plus cher que le salaire d'Adoorman qui pouvait nourrir une famille.",B2
Tu as passé une bonne journée.,A1
La vie en France est très différente de celle du Canada.,A1
C'est bientôt l'anniversaire de Julie.,A1
"Trop de charlatans et pensant en partie malhonnêtes, en partie dupes de leur propre enthousiasme, ont fait que la race humaine promet de promettre qu'ils étaient bien empêchés de tenir.",C2
"Au milieu de ces collines avec des formes admirables et se précipiter vers le lac par de telles pentes singulières, je peux garder toutes les illusions des descriptions de la coupe et de l'Arioste.",C1
Tu parles bien anglais.,A1
Bonjour à tous !,A1
M. Aphatie a été le premier à accueillir une émission de radio et de télévision si appelée.,B1
"Mais ils sont arrivés au milieu de l'hiver, en décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",B2
Ce chiffre devrait encore augmenter dans les années à venir.,C1
Cela fait longtemps que je n'étais pas heureux.,A2
Nous allons à Paris pour prendre un train.,A1
Certains partenaires ne demandent pas votre consentement et ne comptent pas sur leur intérêt commercial légitime pour le traitement de vos données.,C2
Notre héros croyait que tous les Français se déplaçaient profondément comme lui du danger extrême que la patrie courait.,B2
C'est avec son grand-père que Grégoire trouvera le courage de se battre pour devenir quelqu'un et simplement grandir.,A2
J'aime les panoramas.,A2
"J'étais toujours dans ses jambes, en fait, pour goûter tous ses plats",C1
"Dans le même temps, Fabrice a été annoncé à la comtesse Pietranera.",C1
"Si nous savions comment conduire l'automobile automobile, nous pourrions l'emprunter samedi soir pour aller à l'observatoire.",B2
Je suis totalement d'accord avec la fille.,A2
J'ai 36 ans.,A2
"À cette occasion, un grand plan de vélo a été annoncé pour enfin retirer ce mode de transport, en particulier grâce à l'allocation de kilométrage: cet appareil autorise l'employeur à indemniser ses employés pour travailler en vélo (environ 0, 25 euro par kilomètre parcouru).",B2
Je peux me asseoir ici?,A1
Ne respirez pas les aérosols.,A2
Je mange une pomme.,A1
J'ai des croissants.,A1
"Dès que nous avons reçu de lui, nous avons été soulagés",C2
Je préfère aller travailler à vélo,A1
"Le jour de son anniversaire, il avait autant d'argent que son frère.",B1
"Le matin, j'ai eu un autre rendez-vous pour un film encore plus intéressant, donc je ne sais pas ce que je devais faire!",B1
Nous apprécions qu'ils aient répondu immédiatement.,C1
"Tard dans la soirée, Jules revient seul.",A1
Il a un pantalon vert et une chemise blanche,A1
"C'est ainsi que, pendant longtemps, quand, éveillé la nuit, je me sentais de Combray, je n'ai jamais revu que ce genre de casserole lumineuse, coupé au milieu de l'obscurité indistincte, comme celles que le feu du Bengale Kiss'a ou un peu d'électricitéLa projection s'allume et coupée dans un bâtiment dont les autres parties restent immergées dans la nuit: une base assez large, le petit salon, la salle à manger, le début de la ruelle obscure wheremr.Swann arriverait, l'auteur inconscient de ma tristesse, le vestibule où j'ai fini vers la première étape des escaliers, si cruel de grimper, qui seul constituait le tronc très étroit de cette pyramide irrégulière; et, en haut, ma chambre avec ma chambre à coucher avecLe petit couloir avec une porte en verre pour l'entrée de Maman; en un mot, toujours vu en même temps, isolé de tout ce qu'il pourrait y avoir autour, se démarquant seul sur l'obscurité, le décor strictement nécessaire (comme celui qui est indiqué auEn haut des anciennes pièces pour la présentation dans les provinces) au drame de ma déshabillage; comme si Combray n'était composé qu'en deux étages reliés par un mince escalier et comme s'il n'avait jamais eu seulement sept heures du soir.",C2
Giscard réussira cependant à transformer ce revers en tremplin,C1
Ceci est le mot d'ordre de Epic écrit en grand au début du premier numéro,A2
Sauf si je dois compter jusqu'à 5.,A1
"Serveur: Désolé pour le retard, nous sommes très occupés ce soir.",A2
Ils ne vont pas au théâtre parce qu'ils n'ont pas le temps.,B1
Il y a de la neige dans les montagnes.,A1
Simone doit exercer sa voix pour rester constant,B2
"C'est pour unifier un territoire composé d'une myriade de colonies régionales et de colonies que l'école devient libre, laïque et obligatoire par les lois des ferrys de 1881 et 1882.",C2
La consommation sera supervisée par le personnel et loin des lieux publics,B2
"De plus, les étudiants ont des téléphones portables à l'université car ils sont équipés par leurs parents qui veulent pouvoir atteindre leur enfant après les cours, car cela les rassure.",B2
"Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.",A1
C'est pour quand?,A1
"Ce livre, me conseillez-vous ou le recommandez-vous?",B1
"Je suis musicien, je suis violoniste.",A1
"Année après année, le troupeau prospère jusqu'à compter, en 1996, 3 500 têtes.",C1
"Le pays, qui pèse 17% des émissions de GES, doit impérativement ratifier le protocole Kyoto pour qu'il entre en vigueur.",C1
"C'est de votre faute: nous utilisons cette expression lorsqu'une autre personne est responsable, est coupable d'une action.",B1
"La liberté correspondrait donc à un sentiment intérieur, une expérience immédiate dans chaque homme",C2
La famille Chanel découvre la maison dans laquelle ils passeront sa première semaine de vacances.,A2
"Non Paul, vous y restez! Vous êtes sorti toute la journée.",A2
"Et le moine me contient des histoires, toutes les vieilles histoires de cet endroit, des légendes, toujours des légendes.",B2
"La violence des vols et des attaques chante l'itinérance d'un vagabond qui fréquente le monde des individus statiques, auxquels l'auteur n'est plus lié, et celui des bas-fonds, qui le s'inquiète ou le dégoût.",C2
Que faites-vous dans la soirée ?,A1
La liberté humaine est donc possible,C2
"n vengeance, Socrate choisit la vie ordonnée, que là où les tonnes du sage ""seraient en bon état""",C2
Ils ont des étoiles dans leurs yeux,A2
L'analyse des valeurs de l'indice de consolidation institutionnel montre également le caractère très fragmenté du réseau communautaire suisse dans la comparaison européenne.,C2
"Ce matin, Sarah est triste.",A1
Je n'ai pas de leçons à recevoir.,A2
Je vais tirer sur chacun de vos membres si vous ne me donnez pas cette serviette.,B1
"Le voici, la norme des Quinquas * du 21e siècle, leur cri de ralliement.",C1
"Merci monsieur, au revoir.",A1
"À la fin de son apprentissage, Julien est parti pour la France.",A2
"Pour le moment, l'isolement inattendu semble réussir: ils ont ouvert une bouteille de champagne pour célébrer leur déménagement et rester au frais pour célébrer la fin du confinement.",B2
"Extension de la vie, retard dans la vieillesse, cessation de la douleur, signifie corriger les défauts naturels ou pour exalter les facultés intellectuelles, etc.Le fait qu'ils soient désormais discrédités au point qu'aucun mortel, voire courageux, ne s'aventurerait à entreprendre quelque chose de similaire.",C2
"Si nous écoutions le discours plus attentivement, nous comprendrions mieux l'objet des affirmations établies par ce parti politique de la jeunesse suisse.",B2
"Paul Andreu, l'architecte de l'aéroport de Roissy (du terminal 1 au terminal 2e-K) ainsi que l'opéra de Pékin, entre autres, s'est demandé s'il devait installer des portes automatiques dans un aéroport qu'il était en train de concevoir en tant que demandeur de n'importe quel aéroportdigne du nom car, après un calcul rapide des conditions locales, le coût de l'achat et le tout d'une porte automatique étaient plus chers que le salaire de Porter qui pouvait nourrir une famille avec.faire!",C2
"Je ne peux rien te dire, Victor.",A1
C'est dans ce village de 1638 habitants que se trouvent les locaux de la nouvelle émission de télé-réalité.,A2
"Il ne fait absolument aucun doute que si l'éducation nationale distribuait des DVD de série dans la version originale au lieu de payer les enseignants, les Français parleraient de bien meilleures langues étrangères (et perdent moins de temps)",C2
"Ce qu'elle se tait, c'est l'escapade d'amour de Jean, des lettres écrites à une noble fille de la ville, des baisers échangés sur un mur, un scandale entier qui l'avait déterminée au début; et elle accompagna particulièrement son frère à Paris pour le surveiller sur lui, tiré des terreurs maternelles, devant ce grand enfant si beau et si gai que toutes les femmes aimaient.",C2
La structure de la phrase de Breton montre les caractéristiques qu'il partage avec d'autres langues et qui facilitera l'accès à ces langues à Breton,C2
"Plus nous prenons de plaisir, plus nous progressons rapidement et durablement.",B1
Je n'ai pas de nouvelles depuis son départ,A1
"Elle reste dans la cantine tous les jours, et j'ai entendu d'autres se moquer d'elle, car elle ne mange presque rien, des fruits, du pain.",B1
"L'hapludiploïdisation, en revanche, permet d'obtenir directement une ligne haploïde et donc pure, présentant les caractéristiques souhaitées.",C2
"De plus, c'est une action liée à la souffrance et qui a une dimension fortement négative",C2
"Déjà, les problèmes s'accumulent.",B2
"En hiver, elle ne sort jamais sans son parapluie et son foulard",B1
Vous avez beaucoup pleuré après votre rupture qui a brisé le cœur dans mille pièces.,B1
"Le petit prince grandit en paix, entouré de tuteurs et de régents; mais son ami le plus intime et son meilleur conseiller étaient un étranger, qui était venu dans les pays du sud pendant longtemps, qui s'étend le long de la mer.",B2
"Le port sur la ceinture également, ainsi que la panoplie du spectacle accompli, décrit en ces termes: veste volumineuse, chaussures à talon compensées et téléphone mobile essentiel.",B2
"En déploiement des efforts majeurs pour établir une langue officielle dans l'éducation, les médias et l'administration, les gouvernements ont consciemment ciblé l'élimination des langues minoritaires.",C1
"J'ai fait de grands progrès en français, je le comprends et je sais comment en parler et l'écrire beaucoup mieux maintenant",B1
Je vais la chercher,A1
Une extension du congé de paternité peut aider à introduire plus d'égalité dans les couples.,B2
"Cependant, afin de ne pas tomber dans le piège de la ""dépendance"" et des angoisses générées par le smartphone et les réseaux sociaux, il s'agit d'abord d'une question de prendre conscience pour réglementer ses propres conduites et celles des adolescents.",B2
"C'est super, je fais beaucoup de choses avec mes cousins: aujourd'hui, nous sommes allés à la piscine et demain, nous allons camper dans la forêt.",A2
"Une limitation d'autant plus efficace que, comme le rappelle le chercheur, ""l'apprentissage distribué est plus efficace que l'apprentissage groupé""",C2
Vous n'avez qu'à observer que la métamorphose des rues commerçantes est convaincue.,B2
Je suis arrivé à Londres,A2
"En cours de route, il a pu admirer la magnifique fontaine de Bartholdi sur la Grande Place des Terreaux.",B1
"Il a passé un magnifique moment, je suis allé me promener près du parc, il y avait un petit café ouvert.",A2
Je travaille dans une entreprise informatique.,A1
Les images diffusées sur les réseaux sociaux ont montré le manifesteur jeune homme couvert de sang transporté loin des barricades par ses amis.,C1
"Albert, Folio, viens me faire un gros câlin, je suis tellement heureux!",A1
"La Fondation LA Main à la Dough a été créée en 2011, comme continuation de l'exploitation du même nom lancé en 1995 par l'Académie des sciences à l'initiative du prix Nobel de physique, Georges Charpak.",C1
"La locomotive, dirigée par le bras d'un mécanisme de charbon anglais et chauffé, a lancé sa fumée dans les plantations de coton, de café, de muscadaires, de girofliers, de poivron rouge.",B2
"Aux États-Unis, le berceau de la co-éducation - et la discrimination positive - le mélange entre les étudiants des deux sexes n'est plus obligatoire dans les écoles publiques depuis février 2000.",C1
C'est fantastique! Merci beaucoup.,A1
Mais vous devez continuer.,A2
L'avez-vous conseillé de manger dans ce restaurant?,B1
"Aux années 50, les hommes et les femmes éprouvent la nécessité de se remettre en question et ils ont suffisamment d'assurance pour faire ce retour à soi-même, note le psychanalyste Luce Janin-Devillars (changez votre vie, poche).",C1
J'avais une idée derrière la tête.,A2
"Ou peut-être jusqu'à fin juin, selon son contrat.",B1
"We are at the Théâtre de la Jeunesse in Hanoi for a ""Cabaret des Artistes"" evening.",B2
Le chef du gouvernement prévoit des élections.,A2
Je suis fatigué.,A1
"Alain Le Roy, envoyé spécial du président français pour l'initiative africaine en réponse à l'annulation de Covid, une annulation, une très forte restructuration, ou, dans certains cas, une annulation de dettes.",B2
Je ne peux pas le croire.,A1
"Si j'étais le parent d'un étudiant, je lui conseillerais de lire cet été l'incident bizarre du chien pendant la nuit, par Mark Haddon, pour jouer à Triolet, qui est une sorte de scrabble des chiffres, deux nouvelles fonctionnalités intéressantes.",C2
"De plus, c'est mon restaurant préféré, donc je vais profiter",A2
"À mon premier mot: ""Vous rejoindrez Napoléon!",B1
Qu'est-ce qu'ils vont faire?,B1
"Il est allé parmi les bûcherons qui vivaient sur le bord de la forêt, et mania le lourde tronçon.",B2
"Distrait, inattentif, ennuyé, je ne savais pas l'impression que je produisais, et je partageais mon temps entre des études que j'interrompais souvent, des projets que je n'ai pas faits, des plaisirs qui ne m'intéressaient pas, lorsqu'une circonstance, très frivoleEn apparence, produit dans mon élimination une révolution importante.",C2
"Quel peut être un problème dans ces petits livrets, mais plutôt attrayant pour seulement 23, 4% de leurs détenteurs à arriver à la fin?",C2
Cette maison est la nôtre.,A2
"Les prunes étaient nus, les pommiers étaient jaunes, les feuilles de noix sont tombées dans une sorte de vol plat, large et lente en premier, qui a été ajoutée soudainement comme un plongeon de faucon dès que l'angle hors tension est devenu moins obtus.",C1
C'est grâce à elle que j'y suis arrivé.,A2
"Quand je suis arrivé, j'ai vu aux yeux d'Ellenore une expression de plaisir.",C2
C'est l'heure du déjeuner !,A1
"Une fois que cette idée est ancrée dans son esprit, elle a considérablement agité.",C2
Ce pantalon est trop cher!,A1
Il paralyse totalement ce dernier et vous ennuye pour l'utiliser pendant un certain temps.,B1
Tu vas bien? Je suis en vacances avec l'oncle Guillaume et tante Noémie.,A2
"Bien que vêtu de soixante francs complètes, il a gardé une certaine élégance tapageuse, un peu courante, cependant réelle.",C2
"Ils ont été regroupés autour du trône, et ils ont tous demandé les deux: ""Est-il temps, ô mon roi, est-ce qu'il est temps?"" Le roi des serpents est resté immobile pendant quelques minutes de plus, puis il a dit: ""Il est temps!""En disant ces mots, il est descendu de son trône et s'est dirigé vers le rocher, suivi de tous les autres serpents.",A2
Les changements dans les systèmes alimentaires - du terrain à l'assiette - nécessitent également de nouvelles politiques.,C1
Les grands artistes sont ceux qui imposent leur illusion particulière à l'humanité.,C1
"Chérie, pourriez-vous masser le haut du dos, s'il vous plaît?",B1
il pleure.,B2
Deux messieurs d'un certain âge marchent le long d'une rivière.,B1
"Le développement des technologies a permis une augmentation significative de la productivité et des hommes soulagés avec de nombreuses tâches ingrates; cependant, le travail occupe toujours un très grand endroit dans nos vies.",C1
J'étudierai l'anglais,A1
Le droit à la différence?,A2
"Je change, je suis tourmenté par une soif ardente.",C2
"Les invités sont arrivés tôt dans les voitures, les ridioles à un cheval, le réservoir sur deux roues, les vieux cabriolets sans préservatif, les pattes de rideau en cuir et les jeunes des villages les plus voisins des charrettes où ils se sont levés, en rangée, des mains se penchant sur les rideauxPour ne pas tomber, aller trotter et secouer dur.",C2
Ma mère s'appelle Emilie Summer; elle est infirmière dans un hôpital non loin de notre maison.,A1
"Il savait que le souvenir même du piano échouait toujours le plan dans lequel il a vu les choses de la musique, que le terrain ouvert au musicien n'est pas un clavier mesquin de sept notes, mais un clavier incommensurable, encore presque entièrement inconnu, où seulementIci et là, séparés par une obscurité épaisse inexplorée, certaines des millions de touches de tendresse, de passion, de courage, de sérénité, qui la composent, chacune aussi différente des autres comme un univers d'une autre université, ont été découvertes par de grands artistes qui nous font lesService, éveillant en nous le correspondant du thème qu'ils ont trouvé, pour nous montrer quelle richesse, quelle variété, cache cette grande nuit immense et décourageante de notre grand dans nos connaissances que nous prenons sous vide et pour rien.",C2
La raison de cette ambivalence précède l'existence de robots et même de leur nom: il est culturel et se cache dans l'ancien mythe du golem restauré à l'ouest par Frankenstein de Mary Shelley en 1818.,C1
"Quand on lui a dit, elle a répondu doucement; mais elle s'est rapidement retombée dans la distraction.",C1
"Nous avions apporté le rôti, mesdames flanquées de cailles, puis des pois, puis une terrine de foie gras accompagnée d'une salade de feuilles dentelées, se remplissant comme une mousse verte un grand bol en forme de bol.",C2
Les efforts des derniers siècles pour réduire l'incertitude ne se sont pas arrêtés en Europe.,B2
"Un système méritocratique initialement, hérité de la Révolution française, qui est devenue une caste pour riche et influente.",C2
Faire de la philosophie avec des intonations alsatiennes?,B1
L'histoire que je vous lirai s'appelle la légende de l'arbre.,A2
Le coffre est connecté à la tête par le cou,B1
"L'événement était drôle, mais aussi malheureusement révélateur: François Hollande a écrit un seul mot en anglais dans sa lettre de félicitations à Barack Obama pour sa réélection, et ce mot était mauvais",C2
"Dans les Caraïbes, la saison des cyclones commence en juin et dure environ six mois",C1
Les adaptations cinématographiques détruisent l'image fictive donnée par les œuvres littéraires.,B2
"Le jeune prince n'a jamais été fatigué de demander ces histoires, et l'étranger ne pouvait pas se lasser de les répéter, évoquant dans ses yeux les corps frottés d'huile, tordues dans l'horreur de la lutte ou ramasser pour se détendre, la foule de la fouleLe soleil, pieds nus volant sur le sable.",B2
"Si mes dents continuent de me faire souffrir comme ça, j'irai chez le dentiste.",B1
"Se sentant blessée, elle veut déposer une plainte contre la direction.",C1
"Ellenore, allez à ma prière; vous y trouverez une douceur.",C2
"Le système d'indicateurs offre des informations statistiques sur l'État et l'évolution du bien-être dans un grand contexte, et qui sera en mesure de servir de base à la formation de l'opinion publique et des décisions politiques.",C1
Nous sommes conscients que ces questions affectent également la sphère privée des donateurs et des donateurs.,C1
"Le réseau social annonce ce mardi la création d'un ""comité consultatif européen de la sécurité"", composé de neuf membres de la société civile.",B2
"C'était le moment des implications habiles, des voiles élevées par des mots, alors que nous élevons des jupes, le moment des astuces de langage, une audace habile et déguisée, de toutes les hypocrisies sans vergogne, de la phrase qui montre des images sans précédent avec des expressions couvertes, qui soulèventDans les yeux et dans l'esprit, la vision rapide de tout ce qui ne peut pas être dit, et permet aux gens du monde une sorte d'amour subtil et mystérieux, une sorte de pensées impressionnantes par l'évocation simultanée, dérangeante et sensuelle comme étreinte, de tous lesDes choses secrètes, honteuses et désirées de l'embrassement.",C2
Cette peur amène l'intermédiaire à l'internet à vouloir lire de nouvelles informations qui y circulent dès que possible.,B2
"Mais c'est que l'échelle du monde n'était pas essentielle, malgré certaines fresques intellectuelles avec le souffle, celles de l'historien français Fernand Braudel ou du sociologue américain Immanuel Wallerstein en premier lieu.",C2
J'ai donc commencé à parler à ma grand-mère que j'admire beaucoup et j'ai découvert une nouvelle petite amie!,A2
"Quand une jeune femme a aveuglément touché cette inscription en braille sur le mur de l'église Sainte-Croix de Nantes, elle a éclaté de rire",C1
L'Agence canadienne des services frontaliers conseille également une lettre d'autorisation signée par l'autre parent afin d'accélérer son passage à la frontière,C1
Nous pensons immédiatement à un vieux scribe accroupi ou à l'occupant d'un stand bancal niché dans la Melet d'un vénérable bâtiment à moitié coupé.,C1
"Envoyez le message à vos amis, d'accord?",A2
"J'ai eu de longues siestes parfois sur le canapé, parfois sur le lit Arthur, dans la chaleur du soleil ou du radiateur selon les saisons",C1
"Mais pour cela, il est nécessaire qu'un certain nombre de conditions soient remplies: la communauté elle-même doit vouloir sauver sa langue; la culture plus large dans laquelle il fait partie de la langue des minorités; et nous avons besoin de fonds pour financer des cours, du matériel éducatif etenseignants.",C1
Vers une annulation de dettes africaines?,B2
"Un arbre fraîchement coupé est installé dans la cuisine ou le salon, et décoré à l'aide de guirlandes colorées et de balles de Noël",B2
"| Je m'appelle Dioke, je suis malien, j'aime peindre.",A1
"Le point de vue du penseur apporte un autre type de réflexion, plus intellectuel.",B1
"Apolitique et adialectique, cet univers d'objets abstraits admet uniquement l'homme opposé à la nature, jamais avec les autres hommes.",C2
"Sur la pente espagnole, les Aconits bleu foncé; inférieur, l'iris xiphoïde bleu en porcelaine; surpris de le trouver ici dans la nature.",C2
Je suis content que vous ayez aimé cette histoire.,A2
"Deux mules ont marché, l'une d'une avoine chargée, l'autre portant l'argent de la Gabelle.",B2
"N Path, il a pu admirer la magnifique fontaine de Bartholdi sur la Grande Place des Terreaux.",B2
Il doit appeler quand il reçoit des nouvelles des sauveteurs.,A2
Nous faisons aujourd'hui ce que nous avons fait hier à l'université hier.,A2
"Le soir, ne regardez pas la télévision et ne jouez pas sur l'ordinateur avant le coucher.",A2
"Pour la dernière fois, lui et ses camarades de la convention citoyenne pour le climat doivent se réunir à distance, ce week-end, pour donner leur verdict sur le projet de loi sur le climat et la résilience du rapport que ces 150 ont voté et dont le gouvernement est librement inspiré.",C1
Vous avez continué à penser à votre amant disparu.,B1
"Simon a mis le chat par terre, mais le chat est retourné sur la chaise.",A1
Il ne me parle plus et je ne lui parle pas non plus.,A2
"Mon ordinateur ne fonctionne plus, je dois le changer.",A1
